user,date,content,replyCount,retweetCount,likeCount
TonyRobbins,[  20    5 2021],"The Golden Rule of Hospitality | Tony Robbins Interviews Danny Meyer, founder of #ShakeShack and Union Square Hospitality Group https://t.co/o3Ig5r7cFp #BusinessMastery #TBT @shakeshack @dhmeyer",5,13,78
TonyRobbins,[  20    5 2021],"My partners on #manssearchformeaning will premiere their short film about the dangers of high-pressure schooling—the first in a three-part docuseries. My friend @PrinceEa hosts a one-hour, free virtual event on May 20th. Sign up at https://t.co/wi7XELJ5uY https://t.co/t2fmUpGqq3",12,38,189
TonyRobbins,[  19    5 2021],"We're LIVE in the studio today, kicking off the Own Your Future Challenge! This FREE 5-day training will show you the path to next-level success &amp; help you create an extraordinary life — one with meaning, impact, and ultimate fulfillment. Join us! https://t.co/oGGjpGoMq6 https://t.co/iFmEgVu58n",56,35,245
TonyRobbins,[  19    5 2021],"We’re going LIVE in less than 24 hours! TOMORROW, Tue. May 11 at 11 AM PT/2pm ET I’ll be sitting down with my dear friend @deangraziosi for our first-ever OWN YOUR FUTURE Challenge! It's 5 days of live trainings from world-class experts for FREE! Join us: https://t.co/oGGjpGoMq6",12,19,128
TonyRobbins,[  18    5 2021],I’m proud to be one of the founding investors in the @PFLMMA. 💥🥊 We believe it’s an important part of the future of #MMA. I’ll be watching the fight tomorrow night on @espn. My fellow #PFL investor @wizkhalifa is opening the show. Here’s a look at the PFL ESPN show open! https://t.co/KcNgg1kwjs,45,44,313
TonyRobbins,[  18    5 2021],"My partner @deangraziosi and I are hosting our first-ever Own Your Future Challenge to reveal our top strategies to take back control, get creative again after such a tough year, and create a life of impact.

It's FREE! Save your spot here: https://t.co/oGGjpGoMq6 https://t.co/0EJuhN1Lvy",42,58,252
TonyRobbins,[  17    4 2021],"Go behind-the-scenes at the March 2021 #BusinessMastery virtual event and see how participants are learning how to serve more people, make their businesses more profitable &amp; scale beyond what they ever thought possible. An Insider Look at Business Mastery: https://t.co/th83PWWRQ3",40,16,110
TonyRobbins,[  17    4 2021],"My partner @deangraziosi and I are hosting our first-ever Own Your Future Challenge — and it's FREE!
 
It’s 5 days starting Tuesday May 11th. Join us &amp; learn how to build your own dreams, create your own success &amp; make an impact.

Save your spot here: https://t.co/oGGjpGoMq6 🚀🙌",17,23,105
TonyRobbins,[  17    4 2021],https://t.co/mC8JTuXOa8,32,152,595
TonyRobbins,[  17    4 2021],The quality of your life is the quality of your relationships!  https://t.co/4SDoPCVPgI,33,121,571
